Membership No  Date Joined  Active  
    55249      2015-2-8     no    
    36821      2018-11-17   yes   
    10919      2015-3-20    yes   
    38114      2018-12-3    yes   
    38849      2015-3-22    no    
    87131      2015-7-5     yes   
    66574      2019-3-20    no    
    46015      2020-12-5    yes   
    79147      2018-1-2     no    
    41948      2019-10-10   yes   
    98660      2018-4-24    yes   
    28233      2016-12-23   no    
    48608      2019-12-10   yes   
    99501      2020-6-8     no    
    79770      2015-11-15   yes   
    26705      2019-12-16   no    
    81443      2018-12-10   no    
    15170      2020-6-15    no    
    88933      2015-4-15    no    
    93406      2016-9-16    no    
