Membership No  Date Joined  Active  
    54417      2018-4-13    no    
    98063      2017-1-18    no    
    24722      2016-12-16   no    
    55249      2015-2-8     no    
    38849      2015-3-22    no    
    66574      2019-3-20    no    
    79147      2018-1-2     no    
    28233      2016-12-23   no    
    99501      2020-6-8     no    
    26705      2019-12-16   no    
    81443      2018-12-10   no    
    15170      2020-6-15    no    
    88933      2015-4-15    no    
    93406      2016-9-16    no    
