Membership No  Date Joined  Active  
    72675      2017-9-17    no    
    55196      2018-1-19    no    
    85006      2020-5-2     no    
    29969      2017-12-1    no    
    88059      2018-5-23    no    
    77232      2017-10-24   no    
    19558      2020-10-22   no    
    64358      2019-4-1     no    
    75297      2019-3-7     no    
    75724      2020-11-1    no    
    68805      2016-3-4     no    
    56024      2017-8-12    no    
    82726      2020-3-7     no    
    52934      2020-3-8     no    
    27339      2017-7-4     no    
    82512      2015-6-5     no    
    67694      2018-3-11    no    
